Provinsi,Jumlah Penduduk Miskin - Maret (ribu) (Ribu)
Aceh,834.24
Sumatera Utara,1343.86
Sumatera Barat,370.67
Riau,500.81
Jambi,293.86
Sumatera Selatan,1113.76
Bengkulu,306
Lampung,1083.93
Kepulauan Bangka Belitung,72.71
Kepulauan Riau,144.46
DKI Jakarta,501.92
Jawa Barat,4195.34
Jawa Tengah,4109.75
DI Yogyakarta,506.45
Jawa Timur,4572.73
Banten,867.23
Bali,201.97
Nusa Tenggara Barat,746.66
Nusa Tenggara Timur,1169.31
Kalimantan Barat,367.89
Kalimantan Tengah,140.04
Kalimantan Selatan,208.11
Kalimantan Timur,241.77
Kalimantan Utara,52.86
Sulawesi Utara,196.35
Sulawesi Tengah,404.44
Sulawesi Selatan,784.98
Sulawesi Tenggara,318.7
Gorontalo,186.29
Sulawesi Barat,157.19
Maluku,321.81
Maluku Utara,87.16
Papua Barat,219.07
Papua,920.44
Indonesia,27542.77
