Provinsi,Jumlah Tenaga Kesehatan Tradisional
Aceh,1
Sumatera Utara,1
Sumatera Barat,3
Riau,1
Jambi,–
Sumatera Selatan,–
Bengkulu,–
Lampung,36
Kepulauan Bangka Belitung,–
Kepulauan Riau,–
DKI Jakarta,121
Jawa Barat,16
Jawa Tengah,34
DI Yogyakarta,5
Jawa Timur,143
Banten,1
Bali,10
Nusa Tenggara Barat,2
Nusa Tenggara Timur,–
Kalimantan Barat,–
Kalimantan Tengah,–
Kalimantan Selatan,–
Kalimantan Timur,3
Kalimantan Utara,–
Sulawesi Utara,2
Sulawesi Tengah,–
Sulawesi Selatan,4
Sulawesi Tenggara,1
Gorontalo,–
Sulawesi Barat,–
Maluku,–
Maluku Utara,–
Papua Barat,–
Papua Barat Daya,–
Papua,–
Papua Selatan,–
Papua Tengah,63
Papua Pegunungan,–
Indonesia,447
